Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
数据库：国际数据主要国家(地区)年度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标：年中人口(人),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近10年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间,阿富汗,巴林,孟加拉国,不丹,文莱,缅甸,柬埔寨,塞浦路斯,朝鲜,中国香港,印度,印度尼西亚,伊朗,伊拉克,以色列,日本,约旦,科威特,老挝,黎巴嫩,中国澳门,马来西亚,马尔代夫,蒙古,尼泊尔,阿曼,巴基斯坦,巴勒斯坦,菲律宾,卡塔尔,沙特阿拉伯,新加坡,韩国,斯里兰卡,叙利亚,泰国,土耳其,阿联酋,也门,越南,中国台湾,东帝汶,哈萨克斯坦,吉尔吉斯斯坦,塔吉克斯坦,土库曼斯坦,乌兹别克斯坦,马恩岛,约旦河西岸和加沙
2015年,32526562,1377237,160995642,774830,423188,53897154,15577899,1165300,25155317,7305700,1311050527,257563815,79109272,36423395,8380100,126958472,7594547,3892115,6802023,5850743,587606,30331007,409163,2959134,28513700,4490541,188924874,,100699395,2235355,31540372,5535002,50617045,20966000,18502413,67959359,78665830,9156963,26832215,91713300,,1184765,17544126,5956900,8481855,5373502,31298900,87780,4422143
2014年,31627506,1361930,159077513,765008,417394,53437159,15328136,1153658,25026772,7241700,1295291543,254454778,78143644,35273293,8215700,127131800,7416083,3753121,6689300,5612096,577914,29901997,401000,2909871,28174724,4236057,185044286,,99138690,2172065,30886545,5469724,50423955,20771000,18772481,67725979,77523788,9086139,26183676,90728900,,1157360,17289224,5835500,8295840,5307188,30757700,87127,4294682
2013年,30682500,1349427,157157394,754637,411499,52983829,15078564,1141652,24895705,7187500,1279498874,251268276,77152445,34107366,8059500,127338621,7214832,3593689,6579985,5286990,568056,29465372,393000,2859174,27834981,3906912,181192646,,97571676,2101288,30201051,5399162,50219669,20585000,19322593,67451422,76223639,9039978,25533217,89759500,,1129315,17035275,5719600,8111894,5240088,30243200,86462,4169506
2012年,29726803,1333577,155257387,743711,405512,52543841,14832255,1129303,24763353,7154600,1263589639,248037853,76156975,32957622,7910500,127561489,6994451,3419581,6473050,4924257,557763,29021940,385000,2808339,27500515,3545192,177392252,,96017322,2015624,29496047,5312437,50004441,20425000,19978756,67164130,74849187,8952542,24882792,88809200,,1102076,16791425,5607200,7930929,5172941,29774500,85779,4046901
2011年,28809167,1306014,153405612,732246,399443,52125411,14593099,1116644,24631359,7071600,1247446011,244808254,75184322,31867758,7765900,127817277,6760371,3239181,6366909,4591698,546682,28572970,377000,2759074,27179237,3210003,173669648,,94501233,1905437,28788438,5183688,49779000,20271000,20501167,66902958,73517002,8734722,24234940,87860300,,1077602,16558676,5514600,7753925,5106672,29341200,85069,3927051
2010年,27962207,1261319,151616777,720246,393302,51733013,14363586,1103647,24500506,7067800,1230984504,241613126,74253373,30868156,7623600,128070000,6517912,3059473,6260544,4337156,543656,28119500,367000,2712657,26875910,2943747,170043918,,93038902,1765513,28090647,5076732,49410000,20119000,20720602,66692024,72310416,8329453,23591972,86932500,,1057122,16323287,5447900,7581696,5041995,28562400,84327,3811102
2009年,27207291,1196774,149905836,707830,387080,51369725,14144337,1090486,24371806,7003700,1214182182,238465165,73370982,29970634,7485600,128047000,6266865,2881243,6153153,4181742,521405,27661017,360000,2669572,26592666,2762073,166520983,,91641881,1591151,27409491,4987573,49182000,19968000,20566871,66548197,71261307,7705423,22954226,86025000,,1041827,16093481,5383300,7414960,4978960,27767400,83548,3702218
2008年,26528741,1115777,148252473,694990,380786,51030006,13933660,1077010,24243829,6977700,1197070109,235360765,72530693,29163327,7308800,128063000,6010035,2705290,6045439,4109389,507274,27197419,362000,2629666,26325183,2652281,163096985,,90297115,1388962,26742842,4839396,48949000,19817000,20097057,66453255,70344357,6900142,22322699,85118700,,1030915,15673999,5318700,7254072,4917541,27302700,82737,3596688
2007年,25877544,1026568,146592687,681471,374459,50698814,13728700,1063040,24111945,6925900,1179685631,232296830,71720859,28423538,7180100,128001000,5759424,2538591,5939634,4085426,493022,26730607,349000,2592776,26063619,2593750,159767672,,88965508,1178955,26083522,4588599,48598000,19668000,19425597,66353572,69515492,6010100,21701105,84218500,,1021235,15484192,5268400,7099021,4858235,26868000,81914,3494496
2006年,25183615,940808,144839238,666920,368150,50355559,13525360,1048293,23969897,6857100,1162088305,229263980,70923164,27716983,7053700,127854000,5530218,2389498,5838837,4057041,479728,26263048,333000,2558484,25794344,2553376,156524189,,87592899,988448,25419994,4401365,48372000,19520000,18728200,66174486,68704721,5171255,21093973,83311200,,1008389,15308085,5218400,6949566,4801594,26488200,81110,3406334
注：数据来源于世界银行等国际组织。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
